Date,SST
2021-12-05,2829.756607700312
2021-12-06,2827.537426292057
2021-12-07,2825.318244883801
2021-12-08,2823.0990634755462
2021-12-09,2820.879882067291
2021-12-10,2818.660700659036
2021-12-11,2816.4415192507804
2021-12-12,2814.222337842525
2021-12-13,2812.00315643427
2021-12-14,2809.7839750260146
2021-12-15,2807.5647936177597
2021-12-16,2805.345612209504
2021-12-17,2803.1264308012487
2021-12-18,2800.907249392993
2021-12-19,2798.688067984738
2021-12-20,2796.468886576483
2021-12-21,2794.249705168228
2021-12-22,2792.0305237599723
2021-12-23,2789.811342351717
2021-12-24,2787.5921609434617
2021-12-25,2785.3729795352065
2021-12-26,2783.153798126951
2021-12-27,2780.934616718696
2021-12-28,2778.7154353104406
2021-12-29,2776.4962539021853
2021-12-30,2774.27707249393
2021-12-31,2772.057891085675
2022-01-01,2769.8387096774195
2022-01-02,2771.749442544968
2022-01-03,2773.6601754125168
2022-01-04,2775.5709082800654
2022-01-05,2777.481641147614
2022-01-06,2779.3923740151627
2022-01-07,2781.303106882712
2022-01-08,2783.2138397502604
2022-01-09,2785.124572617809
2022-01-10,2787.0353054853576
2022-01-11,2788.9460383529063
2022-01-12,2790.856771220455
2022-01-13,2792.7675040880035
2022-01-14,2794.678236955552
2022-01-15,2796.588969823101
2022-01-16,2798.499702690649
2022-01-17,2800.4104355581985
2022-01-18,2802.321168425747
2022-01-19,2804.231901293296
2022-01-20,2806.1426341608444
2022-01-21,2808.053367028393
2022-01-22,2809.9640998959417
2022-01-23,2811.8748327634903
2022-01-24,2813.785565631039
2022-01-25,2815.696298498588
2022-01-26,2817.607031366136
2022-01-27,2819.5177642336853
2022-01-28,2821.428497101234
2022-01-29,2823.3392299687825
2022-01-30,2825.249962836331
2022-01-31,2827.16069570388
2022-02-01,2829.0714285714284
2022-02-02,2831.103439763002
2022-02-03,2833.1354509545754
2022-02-04,2835.167462146149
2022-02-05,2837.199473337722
2022-02-06,2839.231484529296
2022-02-07,2841.263495720869
2022-02-08,2843.2955069124423
2022-02-09,2845.327518104016
2022-02-10,2847.3595292955893
2022-02-11,2849.3915404871627
2022-02-12,2851.423551678736
2022-02-13,2853.455562870309
2022-02-14,2855.4875740618827
2022-02-15,2857.519585253456
2022-02-16,2859.5515964450296
2022-02-17,2861.583607636603
2022-02-18,2863.6156188281766
2022-02-19,2865.6476300197496
2022-02-20,2867.679641211323
2022-02-21,2869.711652402897
2022-02-22,2871.74366359447
2022-02-23,2873.7756747860435
2022-02-24,2875.807685977617
2022-02-25,2877.8396971691905
2022-02-26,2879.8717083607635
2022-02-27,2881.903719552337
2022-02-28,2883.9357307439104
2022-03-01,2885.967741935484
2022-03-02,2889.023621227888
2022-03-03,2892.0795005202917
2022-03-04,2895.135379812695
2022-03-05,2898.1912591050987
2022-03-06,2901.2471383975026
2022-03-07,2904.3030176899065
2022-03-08,2907.35889698231
2022-03-09,2910.414776274714
2022-03-10,2913.470655567118
2022-03-11,2916.526534859521
2022-03-12,2919.582414151925
2022-03-13,2922.6382934443286
2022-03-14,2925.6941727367325
2022-03-15,2928.7500520291364
2022-03-16,2931.80593132154
2022-03-17,2934.861810613944
2022-03-18,2937.9176899063477
2022-03-19,2940.973569198751
2022-03-20,2944.029448491155
2022-03-21,2947.0853277835586
2022-03-22,2950.1412070759625
2022-03-23,2953.1970863683664
2022-03-24,2956.25296566077
2022-03-25,2959.308844953174
2022-03-26,2962.364724245577
2022-03-27,2965.420603537981
2022-03-28,2968.476482830385
2022-03-29,2971.5323621227885
2022-03-30,2974.5882414151924
2022-03-31,2977.644120707596
2022-04-01,2980.7
2022-04-02,2980.7659139784946
2022-04-03,2980.831827956989
2022-04-04,2980.897741935484
2022-04-05,2980.9636559139785
2022-04-06,2981.029569892473
2022-04-07,2981.095483870968
2022-04-08,2981.161397849462
2022-04-09,2981.227311827957
2022-04-10,2981.293225806452
2022-04-11,2981.359139784946
2022-04-12,2981.4250537634407
2022-04-13,2981.4909677419355
2022-04-14,2981.55688172043
2022-04-15,2981.6227956989246
2022-04-16,2981.6887096774194
2022-04-17,2981.7546236559137
2022-04-18,2981.8205376344085
2022-04-19,2981.886451612903
2022-04-20,2981.9523655913977
2022-04-21,2982.0182795698925
2022-04-22,2982.084193548387
