system:index,date,mean_sst,.geo
20230325,2023-03-25,2902.561153968841,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230326,2023-03-26,2913.437660716476,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230327,2023-03-27,2922.960614867239,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230328,2023-03-28,2918.5702741975533,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230329,2023-03-29,2935.1232687907886,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230330,2023-03-30,2962.3992443126617,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230331,2023-03-31,2971.986874904014,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230401,2023-04-01,2971.6795023253476,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230402,2023-04-02,2968.4164805998244,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230403,2023-04-03,2966.8828881511895,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230404,2023-04-04,2966.4842601234254,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230405,2023-04-05,2984.1576468549806,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230406,2023-04-06,2995.9936481308746,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230407,2023-04-07,3001.1613130609117,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230408,2023-04-08,2996.8694539282847,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230409,2023-04-09,3003.980162714963,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230410,2023-04-10,3013.6780984559527,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230411,2023-04-11,3018.9937958029686,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230412,2023-04-12,3035.7184838210433,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230413,2023-04-13,3059.69063877043,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230414,2023-04-14,3081.5217077982757,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230415,2023-04-15,3087.038678275672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230416,2023-04-16,3092.0639459559507,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230417,2023-04-17,3097.387267121115,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230418,2023-04-18,3098.96834500928,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230419,2023-04-19,3090.1886127092575,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230420,2023-04-20,3081.9072520782474,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230421,2023-04-21,3072.5246848677557,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230422,2023-04-22,3065.66222862792,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230423,2023-04-23,3066.7155540066474,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230424,2023-04-24,3074.2830421239682,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230425,2023-04-25,3068.697555731448,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230426,2023-04-26,3064.7579654329165,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230427,2023-04-27,3061.000082696375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230428,2023-04-28,3049.343438042697,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230429,2023-04-29,3046.6953032397355,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230430,2023-04-30,3045.9528315632388,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230501,2023-05-01,3038.1031243477923,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230502,2023-05-02,3043.622979353477,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230503,2023-05-03,3006.2369940261838,"{""type"":""MultiPoint"",""coordinates"":[]}"
