Surf Spot,Month,SST (°C)
Okanda,2020-09,2879.9333333333334
Okanda,2020-10,2862.967741935484
Okanda,2020-11,2927.6666666666665
Okanda,2020-12,2789.3
Peanuts Farm,2020-01,2814.1935483870966
Peanuts Farm,2020-02,2830.448275862069
Peanuts Farm,2020-03,2890.548387096774
Peanuts Farm,2020-04,2998.5333333333333
Peanuts Farm,2020-05,3021.1290322580644
Peanuts Farm,2020-06,3029.0666666666666
Peanuts Farm,2020-07,2975.2580645161293
Peanuts Farm,2020-08,2901.516129032258
Peanuts Farm,2020-09,2903.0333333333333
Peanuts Farm,2020-10,2879.0967741935483
Peanuts Farm,2020-11,2924.3
Peanuts Farm,2020-12,2786.9666666666667
Pottuvil Point,2020-01,2814.1935483870966
Pottuvil Point,2020-02,2830.448275862069
Pottuvil Point,2020-03,2890.548387096774
Pottuvil Point,2020-04,2998.5333333333333
Pottuvil Point,2020-05,3021.1290322580644
Pottuvil Point,2020-06,3029.0666666666666
Pottuvil Point,2020-07,2975.2580645161293
Pottuvil Point,2020-08,2901.516129032258
Pottuvil Point,2020-09,2903.0333333333333
Pottuvil Point,2020-10,2879.0967741935483
Pottuvil Point,2020-11,2924.3
Pottuvil Point,2020-12,2786.9666666666667
Rockside Induruwa,2020-01,2855.7096774193546
Rockside Induruwa,2020-02,2889.0689655172414
Rockside Induruwa,2020-03,2937.516129032258
Rockside Induruwa,2020-04,3026.1
Rockside Induruwa,2020-05,3002.3870967741937
Rockside Induruwa,2020-06,2930.4666666666667
Rockside Induruwa,2020-07,2875.7741935483873
Rockside Induruwa,2020-08,2824.064516129032
Rockside Induruwa,2020-09,2807.9666666666667
Rockside Induruwa,2020-10,2798.8064516129034
Rockside Induruwa,2020-11,2868.8333333333335
Rockside Induruwa,2020-12,2857.5
South Beach,2020-01,2841.8387096774195
South Beach,2020-02,2845.6206896551726
South Beach,2020-03,2920.4193548387098
South Beach,2020-04,3006.266666666667
South Beach,2020-05,2975.3870967741937
South Beach,2020-06,2919.1
South Beach,2020-07,2846.3870967741937
South Beach,2020-08,2825.935483870968
South Beach,2020-09,2802.7
South Beach,2020-10,2796.5806451612902
South Beach,2020-11,2858.366666666667
South Beach,2020-12,2844.233333333333
Thalpe,2020-01,2841.8387096774195
Thalpe,2020-02,2845.6206896551726
Thalpe,2020-03,2920.4193548387098
Thalpe,2020-04,3006.266666666667
Thalpe,2020-05,2975.3870967741937
Thalpe,2020-06,2919.1
Thalpe,2020-07,2846.3870967741937
Thalpe,2020-08,2825.935483870968
Thalpe,2020-09,2802.7
Thalpe,2020-10,2796.5806451612902
Thalpe,2020-11,2858.366666666667
Thalpe,2020-12,2844.233333333333
Thalyadi,2020-01,2747.935483870968
Thalyadi,2020-02,2778.7241379310344
Thalyadi,2020-03,2878.1612903225805
Thalyadi,2020-04,3014.5
Thalyadi,2020-05,3035.8709677419356
Thalyadi,2020-06,2999.0666666666666
Thalyadi,2020-07,2955.9032258064517
Thalyadi,2020-08,2886.5806451612902
Thalyadi,2020-09,2872.8333333333335
Thalyadi,2020-10,2886.1290322580644
Thalyadi,2020-11,2923.5
Thalyadi,2020-12,2729.5666666666666
Unawatuna,2020-01,2849.15279089418
Unawatuna,2020-02,2876.8934169279
Unawatuna,2020-03,2926.067896018689
Unawatuna,2020-04,3008.5077555213147
Unawatuna,2020-05,2999.8319498981064
Unawatuna,2020-06,2928.2668207498714
Unawatuna,2020-07,2854.5288533227304
Unawatuna,2020-08,2822.8385108603807
Unawatuna,2020-09,2806.9290703646634
Unawatuna,2020-10,2795.452060241563
Unawatuna,2020-11,2856.3799178222907
Unawatuna,2020-12,2851.7631741140212
Weligama,2020-01,2841.8387096774195
Weligama,2020-02,2845.6206896551726
Weligama,2020-03,2920.4193548387098
Weligama,2020-04,3006.266666666667
Weligama,2020-05,2975.3870967741937
Weligama,2020-06,2919.1
Weligama,2020-07,2846.3870967741937
Weligama,2020-08,2825.935483870968
Weligama,2020-09,2802.7
Weligama,2020-10,2796.5806451612902
Weligama,2020-11,2858.366666666667
Weligama,2020-12,2844.233333333333
Whiskey Point,2020-01,2814.1935483870966
Whiskey Point,2020-02,2830.448275862069
Whiskey Point,2020-03,2890.548387096774
Whiskey Point,2020-04,2998.5333333333333
Whiskey Point,2020-05,3021.1290322580644
Whiskey Point,2020-06,3029.0666666666666
Whiskey Point,2020-07,2975.2580645161293
Whiskey Point,2020-08,2901.516129032258
Whiskey Point,2020-09,2903.0333333333333
Whiskey Point,2020-10,2879.0967741935483
Whiskey Point,2020-11,2924.3
Whiskey Point,2020-12,2786.9666666666667
